WWR-NS,WWR-EW,ShadeDepth,SHGC,VLT,ExWall,EUI (kWh/m2),ELECp (W/m2),CLGp (W/m2),Daylight Autonomy,Excessive Daylight,OT26% - Patient North,OT26% - Patient South,img,EUI Saved(-)Wasted(+),REF_ELECp,REF_CLGp,REF_DA,REF_ExcDA
60,80,300,0.34,0.42,1.4,136.33,25.24,56.87,78.84,4.51,21.44,9.94,WWR-NS2_WWR-EW3_ShadeDepth1_SHGCVLT1_ExWall0.png,8.16,13.23,15.99,-18.36,19.95
80,80,300,0.34,0.42,1.4,144.01,27.11,62.18,85.58,6.58,31.2,15.81,WWR-NS3_WWR-EW3_ShadeDepth1_SHGCVLT1_ExWall0.png,14.25,21.62,26.82,-28.48,75.00
20,20,600,0.34,0.42,1.4,118.7,20.41,43.57,19.55,0.72,0,0,WWR-NS0_WWR-EW0_ShadeDepth2_SHGCVLT1_ExWall0.png,-5.83,-8.43,-11.14,70.65,-80.85
40,20,600,0.34,0.42,1.4,124.19,21.93,47.81,48.14,1.25,3.72,2.27,WWR-NS1_WWR-EW0_ShadeDepth2_SHGCVLT1_ExWall0.png,-1.48,-1.62,-2.49,27.73,-66.76
60,20,600,0.34,0.42,1.4,130.47,23.75,53.04,69.65,2.79,17.07,7.48,WWR-NS2_WWR-EW0_ShadeDepth2_SHGCVLT1_ExWall0.png,3.51,6.55,8.18,-4.56,-25.80
80,20,600,0.34,0.42,1.4,138.4,25.83,58.64,77.85,4.81,29.16,13.98,WWR-NS3_WWR-EW0_ShadeDepth2_SHGCVLT1_ExWall0.png,9.80,15.88,19.60,-16.87,27.93
20,40,600,0.34,0.42,1.4,119.71,20.7,44.42,23.98,0.81,0,0,WWR-NS0_WWR-EW1_ShadeDepth2_SHGCVLT1_ExWall0.png,-5.03,-7.13,-9.40,64.00,-78.46
40,40,600,0.34,0.42,1.4,125.15,22.2,48.63,51.77,1.35,3.66,2.33,WWR-NS1_WWR-EW1_ShadeDepth2_SHGCVLT1_ExWall0.png,-0.71,-0.40,-0.82,22.28,-64.10
60,40,600,0.34,0.42,1.4,131.27,23.93,53.51,72.19,2.88,17.12,7.66,WWR-NS2_WWR-EW1_ShadeDepth2_SHGCVLT1_ExWall0.png,4.14,7.36,9.14,-8.38,-23.40
80,40,600,0.34,0.42,1.4,139.19,25.98,59.16,79.96,4.91,29.13,14.11,WWR-NS3_WWR-EW1_ShadeDepth2_SHGCVLT1_ExWall0.png,10.42,16.55,20.66,-20.04,30.59
20,60,600,0.34,0.42,1.4,120.87,21.02,45.36,29.48,1.07,0,0,WWR-NS0_WWR-EW2_ShadeDepth2_SHGCVLT1_ExWall0.png,-4.11,-5.70,-7.49,55.74,-71.54
